torneo,fecha,date,local,visitante,resultado
Apertura 08,16,09/08/2008,Central,Estudiantes LP,3 - 2
Apertura 08,16,09/08/2008,VÃ©lez,Independiente,0 - 0
Apertura 08,16,10/08/2008,ColÃ³n,River,1 - 1
Apertura 08,16,10/08/2008,Boca,Gimnasia (J),4 - 0
Apertura 08,16,10/08/2008,San Lorenzo,Tigre,0 - 1
Apertura 08,16,10/08/2008,Racing,LanÃºs,0 - 2
Apertura 08,17,08/08/2008,San MartÃ­n (T),HuracÃ¡n,2 - 0
Apertura 08,17,08/08/2008,Gimnasia LP,Newell's,0 - 1
Apertura 08,17,09/08/2008,Arsenal,Argentinos,3 - 0
Apertura 08,17,09/08/2008,Banfield,Godoy Cruz,1 - 2
Apertura 08,17,09/08/2008,Central,Estudiantes LP,3 - 2
Apertura 08,17,09/08/2008,VÃ©lez,Independiente,0 - 0
Apertura 08,17,10/08/2008,ColÃ³n,River,1 - 1
Apertura 08,17,10/08/2008,Boca,Gimnasia (J),4 - 0
Apertura 08,17,10/08/2008,San Lorenzo,Tigre,0 - 1
Apertura 08,17,10/08/2008,Racing,LanÃºs,0 - 2
Apertura 08,18,08/08/2008,San MartÃ­n (T),HuracÃ¡n,2 - 0
Apertura 08,18,08/08/2008,Gimnasia LP,Newell's,0 - 1
Apertura 08,18,09/08/2008,Arsenal,Argentinos,3 - 0
Apertura 08,18,09/08/2008,Banfield,Godoy Cruz,1 - 2
Apertura 08,18,09/08/2008,Central,Estudiantes LP,3 - 2
Apertura 08,18,09/08/2008,VÃ©lez,Independiente,0 - 0
Apertura 08,18,10/08/2008,ColÃ³n,River,1 - 1
Apertura 08,18,10/08/2008,Boca,Gimnasia (J),4 - 0
